angry
brave
bright
busy
careful
cheap
clear
cloudy
complex
dark
dead
different
dirty
empty
exact
famous
fast
fierce
flat
fragile
gentle
gloomy
heavy
huge
important
lazy
light
loud
lovely
moist
narrow
odd
poor
powerful
private
proud
quiet
rare
rich
rough
simple
slow
smooth
soft
strong
sweet
tiny
weak
weary
wise
